frame,num_particles,solver_iters,max_neighbors,sort_every_n,sim_ms_gpu,clear,points_speed,present,gpu_0,render_ms,frame_ms,fps,profile
149,1.024e+06,2,64,1,-1,0.13,0.0005,0.1521,0.004096,3.4232,4.4545,224.492,""
150,1.024e+06,2,64,1,-1,0.1334,0.0006,0.1646,0.003072,3.4333,4.4594,224.245,""
151,1.024e+06,2,64,1,-1,0.1173,0.0005,0.1416,0.003072,3.7254,4.429,225.785,""
152,1.024e+06,2,64,1,-1,0.1246,0.0006,0.1518,0.004032,3.7728,4.5068,221.887,""
153,1.024e+06,2,64,1,-1,0.1357,0.0005,0.1505,0.003072,3.7288,4.4703,223.699,""
154,1.024e+06,2,64,1,-1,0.135,0.0005,0.163,0.003072,3.4308,4.4379,225.332,""
155,1.024e+06,2,64,1,-1,0.1342,0.0005,0.1564,0.003936,3.4778,4.4345,225.505,""
156,1.024e+06,2,64,1,-1,0.1355,0.0006,0.1524,0.003072,3.5184,4.5546,219.558,""
157,1.024e+06,2,64,1,-1,0.1252,0.0006,0.147,0.004096,3.6165,4.5773,218.469,""
158,1.024e+06,2,64,1,-1,0.1274,0.0005,0.1527,0.003072,3.6783,4.4938,222.529,""
159,1.024e+06,2,64,1,-1,0.14,0.0004,0.1548,0.003904,3.6553,4.6073,217.047,""
160,1.024e+06,2,64,1,-1,0.1331,0.0006,0.1552,0.003072,3.6788,4.4605,224.19,""
161,1.024e+06,2,64,1,-1,0.159,0.0006,0.1645,0.003072,3.3988,4.482,223.115,""
162,1.024e+06,2,64,1,-1,0.1359,0.0005,0.1828,0.004064,3.3875,4.5732,218.665,""
163,1.024e+06,2,64,1,-1,0.1469,0.0005,0.1625,0.003072,3.3953,4.4643,223.999,""
164,1.024e+06,2,64,1,-1,0.1347,0.0005,0.1513,0.003072,3.6557,4.424,226.04,""
165,1.024e+06,2,64,1,-1,0.1204,0.0005,0.1391,0.003072,3.7161,4.4559,224.422,""
166,1.024e+06,2,64,1,-1,0.1253,0.0004,0.1508,0.003872,3.7059,4.55,219.78,""
167,1.024e+06,2,64,1,-1,0.1269,0.0005,0.1501,0.004096,3.3595,4.4589,224.271,""
168,1.024e+06,2,64,1,-1,0.1255,0.0006,0.1504,0.004096,3.6704,4.4667,223.879,""
169,1.024e+06,2,64,1,-1,0.1269,0.0005,0.1516,0.003072,3.676,4.4991,222.267,""
170,1.024e+06,2,64,1,-1,0.1227,0.0005,0.1747,0.003072,3.6787,4.413,226.603,""
171,1.024e+06,2,64,1,-1,0.1478,0.0006,0.1619,0.003072,3.631,4.5486,219.848,""
172,1.024e+06,2,64,1,-1,0.1368,0.0005,0.1646,0.003072,3.7286,4.4486,224.79,""
173,1.024e+06,2,64,1,-1,0.1282,0.0005,0.1574,0.003072,3.7233,4.4328,225.591,""
174,1.024e+06,2,64,1,-1,0.1247,0.0005,0.1481,0.004064,3.708,4.4351,225.474,""
175,1.024e+06,2,64,1,-1,0.1804,0.0007,0.2063,0.003872,3.6696,4.4189,226.301,""
176,1.024e+06,2,64,1,-1,0.1105,0.0005,0.144,0.004096,3.7316,4.4483,224.805,""
177,1.024e+06,2,64,1,-1,0.1251,0.0005,0.1497,0.003072,3.7011,4.4259,225.943,""
178,1.024e+06,2,64,1,-1,0.1224,0.0006,0.1595,0.003072,3.6704,4.4601,224.21,""
179,1.024e+06,2,64,1,-1,0.1143,0.0005,0.1401,0.003072,3.6293,4.4565,224.391,""
180,1.024e+06,2,64,1,-1,0.1136,0.0005,0.1448,0.003904,3.6119,4.4148,226.511,""
181,1.024e+06,2,64,1,-1,0.1204,0.0006,0.1455,0.003072,3.7013,4.4054,226.994,""
182,1.024e+06,2,64,1,-1,0.1106,0.0005,0.1422,0.003072,3.5802,4.4924,222.598,""
183,1.024e+06,2,64,1,-1,0.1257,0.0006,0.1546,0.003072,3.6967,4.4451,224.967,""
184,1.024e+06,2,64,1,-1,0.1255,0.0005,0.1719,0.003072,3.4222,4.4167,226.413,""
185,1.024e+06,2,64,1,-1,0.1068,0.0005,0.1395,0.003072,3.4555,4.4066,226.932,""
186,1.024e+06,2,64,1,-1,0.1388,0.0005,0.1467,0.003072,3.3627,4.4412,225.164,""
187,1.024e+06,2,64,1,-1,0.1184,0.0005,0.1606,0.003936,3.4629,4.4124,226.634,""
188,1.024e+06,2,64,1,-1,0.115,0.0005,0.141,0.003968,3.4647,4.4355,225.454,""
189,1.024e+06,2,64,1,-1,0.1307,0.0005,0.1606,0.003072,3.4012,4.4006,227.242,""
190,1.024e+06,2,64,1,-1,0.1252,0.0005,0.1636,0.003072,3.682,4.4272,225.876,""
191,1.024e+06,2,64,1,-1,0.1322,0.0005,0.1561,0.003072,3.6849,4.4495,224.744,""
192,1.024e+06,2,64,1,-1,0.1259,0.0008,0.1524,0.004096,3.7654,4.509,221.779,""
193,1.024e+06,2,64,1,-1,0.1271,0.0006,0.1479,0.004032,3.7345,4.4836,223.035,""
194,1.024e+06,2,64,1,-1,0.1244,0.0006,0.1503,0.004,3.6492,4.4117,226.67,""
195,1.024e+06,2,64,1,-1,0.1269,0.0008,0.1772,0.003072,3.6851,4.44,225.225,""
196,1.024e+06,2,64,1,-1,0.1501,0.0006,0.1945,0.003072,3.3687,4.4317,225.647,""
